Country Name,Country Code,Indicator Name,Indicator Code,Type Name,Type Code,Attribute,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Central African Republic,626,"Commodity Export Price Index, Individual Commodites Weighted by Ratio of Exports to Total Commodity Exports",x,"Historical, Rolling Weights, Index",H_RW_IX,Value,163.7686462,158.5015106,168.8309479,158.7042847,153.3162231,153.0509186,153.4173889,141.4090881,149.9743042,140.6375427,139.3126984,176.4152832,160.9950714,130.1195526,194.992569,226.7304077,172.3769379,187.2790985,157.0099945,115.7327957,120.7425995,121.2621841,134.8382721,113.004303,119.9983292,110.7928467,99.91756439,89.33237457,76.82357025,71.39778137,62.10974503,75.15024567,114.8880081,123.2723312,100.1791611,103.750824,88.64917755,80.13627625,80.24514008,65.51096344,67.77803802,78.97808075,76.98303986,77.19937134,88.0502243,93.98225403,97.53168488,93.85224152,93.98155975,118.6373672,100,93.76463318,89.70291138,81.24151611,88.78189087,86.58494568,87.28710175,85.18916321,88.84251404
Côte d'Ivoire,662,"Commodity Export Price Index, Individual Commodites Weighted by Ratio of Exports to Total Commodity Exports",x,"Historical, Rolling Weights, Index",H_RW_IX,Value,139.7305145,140.3218384,145.5008087,130.433548,138.4286041,141.7464447,148.5492859,149.0748291,147.8893738,120.1596298,118.8720398,151.2615967,153.9762115,122.328331,185.7170868,259.0784302,196.2225647,202.5583191,158.1549072,119.1686935,116.1210098,124.7058487,134.8807983,123.1896362,111.2418747,95.68138123,78.56215668,67.97182465,65.89325714,59.55037308,56.36698532,58.3701973,72.74768829,72.72035217,68.17195892,73.66060638,69.38686371,58.65155411,54.76502609,55.72350693,72.26767731,74.33914185,69.83781433,73.46816254,80.2053833,89.27770996,109.6109161,90.67301178,108.5429688,118.7160721,100,100.0763626,103.1244278,82.59660339,80.7333374,72.79711914,79.48236847,77.24694061,73.02675629
Kenya,664,"Commodity Export Price Index, Individual Commodites Weighted by Ratio of Exports to Total Commodity Exports",x,"Historical, Rolling Weights, Index",H_RW_IX,Value,122.5519791,115.4873962,124.7545929,118.512291,117.1152954,112.7950363,109.6668625,106.4895782,114.5235138,105.5879822,107.3133774,109.5700073,141.1819611,126.091774,180.8267212,243.3674774,176.8282471,201.4592743,171.5056763,139.7813568,139.355896,142.0966492,156.9004669,130.0710907,112.5980911,85.45858002,77.28679657,73.33281708,69.21967316,59.8375473,58.38001251,56.764431,66.39391327,62.03516769,58.06146622,70.96977234,66.29302216,64.01064301,65.93314362,54.24668121,52.70004654,56.78197098,60.13054276,70.54164886,79.92429352,76.17294312,89.55041504,88.33927155,96.64816284,106.3959656,100,84.90679932,80.8163681,98.06556702,91.29994965,108.3851624,91.28651428,81.05617523,79.73002625
Angola,614,"Commodity Export Price Index, Individual Commodites Weighted by Ratio of Exports to Total Commodity Exports",x,"Historical, Rolling Weights, Index",H_RW_IX,Value,34.27402115,34.07118225,38.1995163,35.05466461,33.96024704,32.4000206,32.05900955,31.62491608,35.54331589,31.44479561,31.10324669,33.70867538,41.1035881,35.86929321,47.82193756,55.68909454,45.71011734,66.26673889,64.86662292,55.75079727,53.9275856,49.6872673,47.78197098,46.55643845,23.32810974,26.43288422,19.47929382,22.8305378,28.54311752,23.19769287,22.91477203,20.32332993,19.08646965,19.75559235,23.00222588,22.65271568,16.17246056,22.3313942,34.9226532,31.1759491,32.50874329,36.59851837,44.73974991,60.85644531,71.81016541,76.94271088,99.0293808,64.07767487,80.37717438,101.4524994,100,102.0074615,94.72750854,51.64345551,45.85777664,56.43173981,71.50952148,63.79597092,44.41572189
Tunisia,744,"Commodity Export Price Index, Individual Commodites Weighted by Ratio of Exports to Total Commodity Exports",x,"Historical, Rolling Weights, Index",H_RW_IX,Value,26.21047783,25.19540977,25.5805645,26.02721596,24.39339066,25.65982246,26.0817337,26.44324875,25.64156532,25.05005646,25.27791786,26.75199318,53.44014359,45.77499008,49.55208969,51.66761398,47.30551147,80.67703247,86.82945251,78.94173431,75.14563751,68.81537628,65.86907959,64.1667099,33.02418518,37.47607422,28.81233406,32.25556946,37.67103958,31.55057144,31.45258522,28.69104767,27.57777977,28.54349136,31.25685501,31.29819679,24.0206089,30.02898216,41.7606163,38.33154297,39.37194824,43.3208313,50.44719696,64.40110779,76.31800842,80.50087738,99.00769806,66.90831757,83.79698181,103.385994,100,102.9536667,96.83525848,56.72580719,52.27317429,62.49279404,74.8651886,65.9826889,49.66670227
Algeria,612,"Commodity Export Price Index, Individual Commodites Weighted by Ratio of Exports to Total Commodity Exports",x,"Historical, Rolling Weights, Index",H_RW_IX,Value,17.79687119,17.30521774,16.77709389,16.61489296,16.05140114,16.82112503,17.01110268,16.87523079,16.17464447,17.01266861,16.92600441,17.06471443,40.42453003,35.63733673,39.14276505,41.45060349,38.00439453,67.94377136,74.25209808,68.76332092,66.39389801,61.23051453,58.79314041,57.32900238,32.36727524,32.05967712,24.98801422,27.5291481,33.18870926,28.09091759,27.12215233,25.78083229,23.76478386,24.17252922,28.73888969,28.24384117,21.51203156,26.59634018,44.33327103,41.4441452,39.31122971,48.63302994,55.12306213,75.9542923,82.47550964,85.89590454,111.5242081,69.53657532,81.61226654,100.8586121,100,102.8950729,98.68174744,58.43777847,48.58502579,58.26044846,72.98632813,56.46657181,41.42382813
Egypt,469,"Commodity Export Price Index, Individual Commodites Weighted by Ratio of Exports to Total Commodity Exports",x,"Historical, Rolling Weights, Index",H_RW_IX,Value,82.83491516,83.31287384,81.78780365,77.89987946,76.07551575,83.13561249,82.71237183,72.8506012,67.27342224,65.37316895,66.16365051,97.13367462,99.32981873,74.1877594,90.79833984,87.06183624,81.38755035,99.47810364,105.073143,93.77770233,86.5354538,83.92314911,80.42419434,74.19954681,41.16967773,49.29876328,39.69638443,43.06223297,48.13189316,39.32842636,37.38635254,33.68060684,32.96149826,34.80768967,37.76836777,37.50742722,28.4422493,35.04118347,48.53169632,43.79349136,45.15759659,50.83079147,59.41490555,73.96070862,84.02750397,88.17763519,114.7165909,73.5559845,87.71282196,106.1525803,100,100.9784088,96.44971466,60.78090286,56.454216,66.65901947,78.9235611,67.23059082,52.19665527
Mauritius,684,"Commodity Export Price Index, Individual Commodites Weighted by Ratio of Exports to Total Commodity Exports",x,"Historical, Rolling Weights, Index",H_RW_IX,Value,130.0923309,350.6491394,240.9702454,88.44020844,76.12797546,80.52813721,79.80194855,126.9595184,134.0489807,140.9917145,210.7978668,237.2937317,581.9412842,366.1015015,204.2175446,140.2507782,120.0677414,129.6781311,307.4794312,177.5097656,95.42876434,96.89998627,61.18580246,48.15772629,66.1763916,66.04489136,88.41130829,107.1144562,103.1110687,72.07500458,73.46736145,79.26511383,92.37042999,96.07578278,85.36677551,84.31509399,70.80379486,52.20222092,65.34920502,66.83761597,54.49793243,57.67414093,59.31430435,73.59671021,100.3927002,73.3427887,81.84564209,101.0967407,119.9040451,126.4312439,100,114.747345,112.0477219,91.41268158,126.738533,123.820015,112.6385727,106.5691452,104.0358429
Nigeria,694,"Commodity Export Price Index, Individual Commodites Weighted by Ratio of Exports to Total Commodity Exports",x,"Historical, Rolling Weights, Index",H_RW_IX,Value,16.86632347,17.3476162,17.59749222,16.70920181,16.63676453,16.26962662,16.1630249,17.58474159,16.10846901,14.95981693,14.99710274,16.50096512,37.15858459,31.82705688,35.38545227,38.01991272,34.5774765,60.66558075,64.62791443,58.67269516,55.58986664,51.12520981,49.12332535,47.85146332,23.74036407,27.23661613,19.9648056,23.31459808,29.16942596,23.70962715,23.43221855,20.78811646,19.61828804,20.34740639,23.61419106,23.20480156,16.56857109,22.88313103,35.85286713,31.99065781,33.38119125,37.71511459,46.0039444,62.66010284,73.82843018,79.12099457,101.6189041,66.08642578,82.7084198,102.8254852,100,101.6125336,94.04869843,53.7602272,47.28705978,57.28882599,71.62134552,62.07875443,44.30911255
South Africa,199,"Commodity Export Price Index, Individual Commodites Weighted by Ratio of Exports to Total Commodity Exports",x,"Historical, Rolling Weights, Index",H_RW_IX,Value,89.47916412,108.3255768,106.1704407,91.52745056,90.65678406,84.87580109,83.5825882,95.35427856,94.4151535,82.64978027,93.80496216,128.2085419,138.2285767,100.4674377,94.72734833,88.75198364,81.92986298,86.11320496,83.58096313,76.09620667,71.60526276,66.72024536,60.10831833,59.42033386,53.98271942,52.13840866,60.77823639,60.79161072,57.93290329,50.60363388,50.13154602,45.07836914,47.90732956,52.59937668,50.46003723,48.65900421,42.70311356,40.49253082,43.95323563,45.54692459,43.9535675,45.84155655,58.73771667,64.0408783,76.23095703,83.7876358,102.571312,77.21466064,106.6843567,122.6380615,100,100.0984116,85.20759583,61.62757874,65.88671112,78.45178223,84.18823242,79.3706665,74.87001801
